대분류,소분류,활하중
주택,주거용 건축물의 거실,2
주택,공동주택의 공용실,5
병원,병실,2
병원,"수술실, 공용실, 실험실",3
병원,1층 외의 모든 층 복도,4
숙박시설,객실,2
숙박시설,공용실,5
사무실,일반 사무실,2.5
사무실,일반 사무실 (경량 벽체 하중 포함),3.5
사무실,특수용도사무실,5
사무실,문서보관실,5
사무실,1층 외의 모든 층 복도,4
학교,교실,3
학교,일반 실험실,3
학교,중량물 실험실,5
학교,1층 외의 모든 층 복도,4
판매장,"상점, 백화점 (1층)",5
판매장,"상점, 백화점 (2층 이상)",4
판매장,창고형 매장,6
집회 및 유흥장,모든 층 복도,5
집회 및 유흥장,무대,7
집회 및 유흥장,식당,5
집회 및 유흥장,주방,7
집회 및 유흥장,극장 및 집회장 (고정 좌석),4
집회 및 유흥장,집회장 (이동 좌석),5
집회 및 유흥장,"연회장, 무도장",5
체육시설,"체육관 바닥, 옥외경기장",5
체육시설,스탠드 (고정 좌석),4
체육시설,스탠드 (이동 좌석),5
도서관,열람실,3
도서관,서고,7.5
도서관,1층 외의 모든 층 복도,4
주차장 및 옥외 차도,총중량 30kN이하의 차량(옥내),3
주차장 및 옥외 차도,총중량 30kN이하의 차량(옥외),5
주차장 및 옥외 차도,총중량 30kN초과 90kN이하의 차량,6
주차장 및 옥외 차도,총중량 90kN초과 180kN이하의 차량,12
주차장 및 옥외 차도,옥외 차도와 차도 양측의 보도,12
창고,경량품 저장창고,6
창고,중량품 저장창고,12
공장,경공업 공장,6
공장,중공업 공장,12
지붕,점유⋅사용하지 않는 지붕(지붕활하중),1
지붕,산책로 용도,3
지붕,정원 또는 집회 용도,5
지붕,출입이 제한된 조경 구역,1
지붕,헬리콥터 이착륙장,5
기계실,"공조실, 전기실, 기계실 등",5
광장,옥외광장,12
발코니,발코니,5
로비 및 복도,"로비, 1층 복도",5
로비 및 복도,1층 외의 모든 층 복도,4
계단,단독주택 또는 2세대 거주 주택,2
계단,기타의 계단,5
기타,기타,0
